utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
I see a lot of videos cooking these steaks medium rare. I like mine well done. Why do they do that and how do you like your steaks?,steaks medium rare (1.00),done (0.83),steaks (1.00),videos (0.98),mine (0.64),none
How do you cook seafood?,seafood (1.00),none,none,none,none,none
Does chicken breast get softer the longer you cook it?,chicken breast (1.00),none,none,softer (0.40),none,none
How are restaurants able to have such big menus with a variety of options? Do the cooks have all the recipes memorized? Are the food preparation for every dish already done? What if people don’t order certain dishes? Does the food prep go to waste?,restaurants (0.97),menu (0.91),with a variety of (0.93),big (0.40),##s (0.59),options (0.68)
Do you prefer to cook for yourself or go out to dinner? Why?,none,none,none,dinner (0.37),none,none
How do I cook a white sweet potato?,white sweet potato (1.00),none,none,none,none,none
What can I add to pasta if I have no sauce?,pasta (1.00),none,none,sauce (1.00),none,none
What is the best way to cook salmon steaks?,salmon steaks (1.00),none,none,none,none,none
"What does ""bring to a simmer"" mean when cooking?","simmer "" (1.00)",when cooking (0.94),none,none,none,none
Do you think your mother's cooking is the best?,mother's cooking (1.00),the best (0.96),none,none,none,none
How long does it take to cook a bone in chicken?,bone in chicken? (1.00),none,none,none,none,none
How do I cook various recipes?,recipes (0.82),none,none,none,none,none
Why is it that every cooking or recipe website feels the need to tell us the whole biography of its author?,cooking or recipe website (1.00),whole biography (0.66),its (0.72),none,none,none
How do I cook filet mignon at home?,filet mignon (1.00),none,none,none,none,none
What should you never do when cooking mushrooms?,mushrooms (1.00),none,none,none,none,none
How do I use an induction hob to cook effectively?,induction hob (1.00),cook effectively? (0.83),none,none,none,none
How long does it take to cook a burger?,burger (1.00),none,none,none,none,none
Do egg size and temperature matter in baking?,egg size (0.86),none,none,and temperature matter (0.71),baking (0.83),none
How can I get used to touching hot things while cooking?,hot things while cooking (0.83),none,none,touching (0.98),none,none
How do you appreciate a good cook?,good cook (0.85),none,none,none,none,none
What do you cook that smells bad while cooking but tastes good at the end?,smells bad while cooking but tastes good (0.98),none,none,none,none,none
At what age should you learn to cook?,none,none,none,none,none,none
Why is it so important for grandmas to know how to cook?,grandmas (0.98),none,none,none,none,none
How do I cook a boneless pork tenderloin?,boneless pork tenderloin? (1.00),none,none,none,none,none
"During lockdown I would like to experiment by cooking new foods for my family, ideally with the help of my children (they will eat most foods) what is a simple (easy to cook) recipe from your country that we could try?",new foods (1.00),"family, ideally (0.98)",most foods ) (0.93),lock (0.47),children (0.87),none
What are some ways to cook frozen arepas?,frozen arepas? (1.00),none,none,none,none,none
Anyone retired or with time on their hands who have skills in sewing and cooking who would like to share these skills? I'd like to learn.,none,none,none,time on (0.97),hands (0.77),sewing and cooking (1.00)
"Which is the best steak to grill, picanha or ribeye?","the best steak to grill, picanha or ribeye? (1.00)",none,none,none,none,none
Which is the difference between pizza steel and pizza stone?,pizza steel and pizza stone (1.00),none,none,none,none,none
How can I learn to cook if my mom refuses to teach me?,mom (0.39),none,none,none,none,none
What is the best chef's knife for a serious but not professional cook?,the best chef's knife (1.00),serious but not professional cook (0.99),none,none,none,none
How does JD Wetherspoons cook their food?,jd wetherspoons (1.00),food (0.97),none,none,none,none
My ducted range hood often drips oil to the cooking top. Do you have any suggestions?,ducted range hood (1.00),drip (0.73),to the cooking top (1.00),oil (0.95),suggestions (0.98),none
How long do you cook a duck?,duck (1.00),none,none,none,none,none
How do I cook calves liver and onions?,calves liver and onions? (1.00),none,none,none,none,none
One of the things I pride myself on as a teen is being able to cook but as a teen I gotta overthink things so can I really cook? Does following directions from a recipe or on a box really mean I can cook? Or am I just good at following directions?,teen (0.92),teen (0.43),directions from (0.97),overthink things (0.65),following (0.69),following directions (0.98)
What is the best way to cook peaches for dessert?,peaches for dessert (1.00),none,none,none,none,none
"I have a 5kg piece of beef to roast, will cutting it into 2 joints decrease the overall cook time in one oven?","5kg piece of beef to roast, (0.96)",it into 2 joints (1.00),overall cook time (0.93),none,none,none
Can salted butter and unsalted butter be used interchangeably in any recipe?,salt (0.90),##ed butter and unsalted butter (0.99),used interchangeably (0.77),none,none,none
How do you cook foods that you hate?,foods (1.00),none,none,none,none,none
What food reminds you of your grandmothers cooking? Have you learned how to make it?,grandmothers cooking (0.99),it (0.56),none,food (0.94),none,none
How do you cook Hebrew National Franks?,hebrew national franks (1.00),none,none,none,none,none
What are the best ways to cook canned green beans?,canned green beans? (1.00),none,none,none,none,none
Why is asparagus always slimy when I cook it?,as (0.89),always (0.33),##y when (0.53),##paragus (0.72),slim (0.90),none
Are silicone grafe utensils considered good or bad when it comes to cooking? Would it be acceptable for a cook or a chef to have/use?,silicon (0.97),##e grafe utensils considered good or bad (0.93),cook (0.99),cooking (1.00),/ (0.97),none
How do you avoid dry or tough meats in the slow cooker?,dry or tough meats in the slow cooker (1.00),none,none,none,none,none
Can you cook fish and chicken in the same oil?,fish and chicken in the same oil (1.00),none,none,none,none,none
