utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
Are potato wedges fried or baked?,potato wedges fried or baked? (1.00),none,none,none,none,none
How is the perfect onion ring prepared according to the chef’s source?,perfect onion ring prepared according (1.00),the chef ’ s source (1.00),none,none,none,none
"What are some tricks to preserve the leftover pizza and bring it to the table the following day, always soft and fragrant as fresh from the oven?",leftover pizza (1.00),it (1.00),table (1.00),none,none,none
"Can you make minute rice the way you make risotto, or would that turn out weird?",minute rice the way (1.00),"risotto, (1.00)",weird (0.43),none,none,none
What recipes do you love that happen to rely on dry ingredients?,none,none,none,dry ingredients (1.00),none,none
What tools can I use from my kitchen to cook food on steam without a steamer?,food on steam (1.00),none,none,tools (0.36),a (0.97),steamer (1.00)
How do you thicken au jus? What are some tips?,thicken au jus? (1.00),? (0.90),none,tips (1.00),none,none
How do you fix undercooked rice in a rice cooker?,undercooked rice in a rice cooker (1.00),none,none,none,none,none
How is pizza sauce different from regular pasta sauce?,pizza sauce (1.00),from regular pasta sauce (1.00),none,none,none,none
"What is your tip or secret for keeping the ""hard shell"" on your tacos from breaking?",tip or secret (0.89),""" hard shell "" on your tacos from (0.99)",none,breaking (0.78),none,none
How much water do I put in my Zojirushi rice cooker?,zojirushi rice cooker (1.00),none,none,water (1.00),none,none
Is butter good for searing steak?,butter (0.66),searing steak (1.00),none,none,none,none
"What is the quickest, easiest way to remove the outer skin of an onion?","quickest, easiest (1.00)",the outer skin of (0.87),onion (1.00),none,none,none
Should you grill salmon with the skin-side down first?,salmon with the skin - side down first (0.99),none,none,none,none,none
How do I heat up a baked potato?,baked potato? (1.00),none,none,none,none,none
Why does my rice always taste watery when I cook it what am I doing wrong?,rice (0.98),it (0.62),none,watery (0.72),wrong (0.63),none
Why does it take so long to make pancake batter?,pancake batter (1.00),none,none,none,none,none
How do I make a zucchini wrapped sole recipe?,zucchini wrapped sole recipe (1.00),none,none,none,none,none
What are some ways to improve canned tomato soup to make it taste better?,canned tomato soup to make it taste better (1.00),none,none,none,none,none
How do you fix pulled pork that turned out dry? Will adding a ton of butter help?,pulled pork that turned out dry? (1.00),adding (0.36),ton of butter (0.90),none,none,none
How long does it take to cook a 9lb spiral ham?,9lb spiral ham? (1.00),none,none,none,none,none
What should you never do when cooking mushrooms?,mushrooms (1.00),none,none,none,none,none
How hot should oil be for frying?,frying (0.82),none,none,hot (0.27),oil (0.62),none
How do you can food with a pressure cooker?,none,none,none,pressure cooker (0.96),none,none
How do you keep chicken from burning on the grill?,chicken from burning on the grill (1.00),none,none,none,none,none
What is the best way to counteract vinegar if too much is put into soup?,##act vinegar if too much is put into soup (0.87),none,none,none,none,none
"What type of cooked pasta reheats best, egg-based or water-based?","cooked pasta reheats best, egg - based or water - based? (1.00)",none,none,none,none,none
How do I cook a bottom round rump roast?,bottom round rump roast? (0.98),none,none,none,none,none
How can I stop food from sticking to the bottom of the air fryer?,food (1.00),sticking (0.60),to (0.40),none,none,none
How do you saute shrimp in butter?,##ute shrimp in butter? (0.95),none,none,sa (0.70),none,none
What is the easiest pasta dish to prepare?,easiest pasta dish (0.99),none,none,none,none,none
How do you clean and cook asparagus?,asparagus? (1.00),none,none,none,none,none
Why is a 3/4 cups not common measurement cup in measurement sets?,3 / 4 cups not common measurement cup in measurement sets (1.00),none,none,none,none,none
How do I cook a rock cornish game hen?,rock cornish game hen? (0.99),none,none,none,none,none
How do I seal a jar with a jam so that it can be opened without breaking the lid?,jar (1.00),it (0.47),opened (0.42),jam (1.00),breaking (0.99),lid (0.86)
Why do you bring steak to room temperature before cooking?,steak (1.00),room temperature (0.99),none,cooking (0.97),none,none
How do you fry pork chops without them sticking to the pan?,pork chops (1.00),to (0.39),pan (1.00),them (1.00),sticking (0.71),the (0.98)
What is a panade in cooking?,panade in cooking (1.00),none,none,none,none,none
How do I cook and mash sweet potatoes?,and mash sweet potatoes? (1.00),none,none,none,none,none
What's the best lamb for roasting?,the best lamb for roasting? (1.00),none,none,none,none,none
What does it mean to cook a steak blue?,steak blue? (1.00),none,none,none,none,none
How do I cook without oil or butter?,without oil or butter? (1.00),none,none,none,none,none
Why does my brown rice always turn out hard?,brown rice always turn out hard (0.88),none,none,none,none,none
"What are some easy, quick, and low-budget recipes?","easy, quick, and low - budget recipes (1.00)",none,none,none,none,none
"What is the best way to tenderize a steak, without making a career out of it?","steak, (1.00)",career out (0.78),none,making (0.92),it (0.81),none
What’s are some of your favourite summer gathering recipes?,favourite summer gathering recipes (1.00),none,none,none,none,none
How do you keep bacon from curling up while you cook it?,bacon from curling up (0.93),it (0.93),none,none,none,none
How do I fry French fries at home?,french fries (1.00),none,none,none,none,none
How do you toast pecans on the stove?,pecans on the stove (1.00),none,none,none,none,none
How do you keep the crust of a frozen pizza from burning?,crust (1.00),frozen pizza from (0.95),none,burning (0.98),none,none
How can I replace peanut butter in a recipe?,peanut butter in (1.00),recipe (0.99),none,none,none,none
How do you make scampi sauce?,scampi sauce? (0.93),none,none,none,none,none
How could you roast eggplants without having a grill?,eggplants (1.00),? (0.92),none,grill (1.00),none,none
What are the advantages of stir frying?,stir frying (1.00),none,none,none,none,none
Can you grate an onion?,onion (1.00),none,none,none,none,none
What kind of fuel should I use in a fondue burner?,fondue burner (1.00),none,none,fuel (0.99),none,none
What are the most common blunders in home cooking?,most (0.57),blu (0.56),home cooking (0.66),common (0.46),##nders (0.91),none
Are store-bought tortillas fully cooked?,store - bought tortillas fully cooked? (0.99),none,none,none,none,none
How do I fix soggy fried rice?,soggy fried rice (1.00),none,none,none,none,none
How do I cook zucchini on a stove top?,zucchini on a stove top (1.00),none,none,none,none,none
How do I cook a boneless top sirloin steak?,boneless top sirloin steak? (1.00),none,none,none,none,none
How do you choose and cook your pasta so that it sticks well to the sauce?,pasta (1.00),it sticks well to the sauce (0.72),none,none,none,none
How hot do you cook a turkey?,turkey (1.00),none,none,none,none,none
How do I make canned chicken taste good?,canned chicken taste good? (1.00),none,none,none,none,none
How do I cook a bone in an oven?,bone in an oven (1.00),none,none,none,none,none
How do I cook a turkey with cheesecloth?,turkey with cheesecloth? (1.00),none,none,none,none,none
Does marinating steak make it more tender?,tender (0.58),none,none,marinating steak (1.00),none,none
How do I cook a 5lb beef tenderloin?,5lb beef tenderloin? (1.00),none,none,none,none,none
Do you have to soak rice noodles before cooking?,so (0.73),rice noodles (1.00),cooking (0.53),none,none,none
What is a nice alternative to pancetta when preparing carbonara?,pancetta when preparing carbonara? (1.00),none,none,none,none,none
What is the best way to grill ahi tuna?,ahi tuna? (0.99),none,none,none,none,none
"What is the best way to prepare hotdogs? Boiled, fried or microwaved?","hotdogs? boiled, fried or microwaved? (1.00)",none,none,none,none,none
What are some of the best ways to elevate a simple dish up to another level?,the best (1.00),eleva (0.80),simple dish up (1.00),none,none,none
What are some good tips for an oven that is too hot at the bottom?,oven (1.00),is too hot at the bottom (0.90),none,good (0.99),none,none
How do I cook pheasant on the stove?,pheasant on the stove (1.00),none,none,none,none,none
How can you fix a cast iron pan that becomes sticky after cooking?,cast iron pan that becomes sticky after cooking (1.00),none,none,none,none,none
What ingredients do you use for cooking bacon?,bacon (1.00),none,none,ingredients (0.97),none,none
How do I make a giant chicken nugget?,giant chicken nugget? (1.00),none,none,none,none,none
How could you fry food without always using oil?,food (1.00),none,none,always using oil (1.00),none,none
How do I cut an eggplant for eggplant parmesan?,eggplant for eggplant parmesan? (0.97),none,none,none,none,none
How long does it take to cook asparagus at 450?,asparagus at 450? (1.00),none,none,none,none,none
Why do baking recipes call for unsalted butter?,baking recipes (0.89),unsalted butter (1.00),none,none,none,none
How do I make popcorn like in the movies?,popcorn like in the movies (1.00),none,none,none,none,none
How do I safely make cold cut deli meat?,cold cut deli meat (1.00),none,none,none,none,none
"I love baking and cooking, but I can't bake or cook anything. I can't even make a doughnut. What do I do?",bake or cook anything (0.83),doughnut (1.00),none,baking (1.00),cooking (0.83),none
What happens to your rice if you leave it in the rice cooker on warm mode?,rice (0.99),it in the rice cooker on warm mode (0.93),none,none,none,none
How do you cook bacon and eggs in the same pan?,bacon and eggs in the same pan (1.00),none,none,none,none,none
Can you use the oven and stove at the same time?,oven and (0.96),none,none,stove (0.52),none,none
