utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
"How do you make a spaghetti sauce, keeping it healthy?",spaghetti sauce (1.00),it (1.00),none,healthy (0.74),none,none
"How good are French fries that are cooked in an air fryer, or is there another healthy alternative method to cook them that is better?",french fries (1.00),cooked in an (0.88),air fryer (0.98),better (0.86),none,none
What are risks of undercooked salmon?,none,none,none,undercooked salmon (1.00),none,none
Can you substitute garlic powder for garlic cloves?,garlic powder for garlic cloves (1.00),none,none,none,none,none
"Are Instant Pot recipes healthier than other ways of cooking, or does it matter?",instant pot recipes healthier (0.91),other ways (0.99),cooking (0.99),none,none,none
Which cooking oils are harmful for health?,none,none,none,cooking oils (0.87),health (0.94),none
Is it healthier to use honey instead of sugar in baking recipes?,honey instead of sugar in baking recipes (1.00),none,none,none,none,none
What is the best way to cook green prawns?,green prawns (1.00),none,none,none,none,none
What should I have for healthy skin? Share some recipes?,healthy skin (1.00),recipes (0.58),none,none,none,none
What are some simple and easy meals?,simple and easy meals (1.00),none,none,none,none,none
What are some good ways to use fresh basil when cooking?,fresh basil when cooking (1.00),none,none,none,none,none
How can you incorporate leftover broccoli into other recipes?,leftover broccoli into other recipes (1.00),none,none,none,none,none
"Which is healthier, rice or flour?","healthier, rice or flour (0.92)",none,none,none,none,none
How long does it take to cook soaked kidney beans?,soaked kidney beans? (1.00),none,none,none,none,none
"Is beef tendon considered protein, carbohydrate, fat or none of the above?",beef tendon (1.00),"protein, carbohydrate, fat or none of the above (0.99)",none,none,none,none
"I have health issue, which cooking oil should I use?",cooking (0.59),none,none,health issue (0.99),oil (0.93),none
"Which is healthier, steak or ground beef?","healthier, steak or ground beef? (0.96)",none,none,none,none,none
Which spices add to the food value and to your good health?,food (1.00),health (0.59),none,spices (0.87),value (0.72),good (0.80)
What are the best recipes for juicing?,best (0.95),juicing (1.00),none,none,none,none
Is an air fryer healthy?,air fryer healthy (1.00),none,none,none,none,none
Is roasting a healthy way to cook vegetables?,healthy (1.00),vegetables (1.00),none,none,none,none
How do I learn how to cook healthily for one person?,healthily for one person (1.00),none,none,none,none,none
What are the health benefits of olive oil?,olive oil (1.00),none,none,none,none,none
Why should I eat chia seeds? What are the health benefits and recipe tips?,chia seeds (1.00),health benefits and recipe tips (0.95),none,none,none,none
Why is highly processed food bad?,highly processed food bad (0.88),none,none,none,none,none
What is the easiest way to cook perfect rice?,perfect rice? (1.00),none,none,none,none,none
Is it safe to eat barely cooked (almost raw) potatoes? Are there health benefits to preparing them this way?,barely cooked ( almost raw ) potatoes (1.00),them (1.00),none,health (1.00),none,none
How long does it take to cook tofu in soup?,tofu in soup (1.00),none,none,none,none,none
Why are we advised that pork needs to be cooked more thoroughly than say beef or chicken?,pork (1.00),cooked more thoroughly than say beef or chicken (0.99),none,none,none,none
Do you lose nutrients in spinach when you boil it?,##ach when (0.89),boil it (0.83),none,nutrients in (0.93),spin (0.85),none
What are some natural ways to thicken blood?,##en blood (0.95),none,none,natural (0.99),thick (0.56),none
How do I cook dried pinto beans fast?,dried pinto beans fast? (1.00),none,none,none,none,none
How can I make a healthy home made pizza?,healthy home made pizza? (0.96),none,none,none,none,none
What simple advice for cooking could improve every meal you make?,meal (0.94),none,none,simple (0.67),cooking (0.96),none
How can I cook the perfect crispy bacon?,the perfect crispy bacon? (1.00),none,none,none,none,none
Is red rice healthier than white rice for daily consumption?,red rice healthier than white rice for daily consumption (1.00),none,none,none,none,none
Is the skin on salmon good for you? Why or why not?,skin on salmon (1.00),why (0.55),why (0.44),none,none,none
What are some good spinach recipes?,good spinach recipes (1.00),none,none,none,none,none
Why does cooking oil thicken when cooled down?,cooking oil thicken when cooled down (1.00),none,none,none,none,none
How long can cooked meat be left out?,meat (1.00),out (0.93),none,left (0.31),none,none
What are some great juice recipes?,great juice (1.00),none,none,none,none,none
How do you make healthy pasta for a diet?,healthy pasta (1.00),diet (0.59),none,none,none,none
What is the recipe to JC GreenLife NYC's oatmeal?,jc greenlife nyc's oatmeal? (1.00),none,none,none,none,none
What happens to the human body when one does not eat any cooked food for one month?,human body (0.91),any (0.45),food (0.94),cooked (0.78),one (0.51),none
What is a good recipe for healthier fried rice?,healthier fried rice? (1.00),none,none,none,none,none
What is the best way to cook vegetables?,vegetables (1.00),none,none,none,none,none
How do I cook an already cooked ham?,already cooked ham (1.00),none,none,none,none,none
Which foods are less nutritious when you reheat them?,foods (0.96),reheat them (0.89),none,nutritious when (0.95),none,none
How long does it take to cook bacon at 400?,bacon at 400? (1.00),none,none,none,none,none
Should cooked brown rice be soft like white rice?,brown rice (0.94),soft like white rice (0.90),none,none,none,none
"What are some examples of edible, non-organic matter?","edible, non - organic matter (1.00)",none,none,none,none,none
What is your best meal prep recipe that I can freeze?,best meal prep (0.93),i can freeze? (0.73),none,none,none,none
"Why do some meats/cuts turn white when cooked, and others turn red/brown?","meats / cuts turn white when cooked, (1.00)",others turn red / brown (0.96),none,none,none,none
What is a good recipe for fried rice without actually using rice?,fried rice (1.00),using rice (1.00),none,actually (1.00),none,none
What is the easiest way to clean leafy vegetables from possible pesticides?,leafy vegetables from possible pesticides (1.00),none,none,none,none,none
What is the best deep fried food?,the best deep fried food (1.00),none,none,none,none,none
"What are some fail-safe, delicious freeze-ahead recipes for dinner meals?","fail - safe, delicious freeze - ahead (1.00)",dinner meals (1.00),none,none,none,none
Are boiled potatoes bad for health?,boiled potatoes (0.86),none,none,health (1.00),none,none
How long are cooked lentils good for?,lentils good for (0.86),none,none,none,none,none
Is fried rice healthy?,rice healthy (0.75),none,none,none,none,none
