utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
Bilal sacrifices goat and get 13 5/7 kg of meat. he gave one third of meat in charity. how much meat is left with him? Answer is 9 1/7 mixed fraction.,bilal (0.82),goat (0.74),13 5 / 7 kg of meat (0.98),meat (1.00),answer (0.42),none
Why aren't guns used in slaughterhouses? Would gunshots to the head be a more humane alternative to slaughtering animals?,guns (0.79),slaughterhouses (1.00),to the head (0.76),gunshots (0.90),humane (0.71),slaughter (0.90)
Is McDonald's going to use Beyond Meat?,mcdonald ' (0.76),? (0.91),none,beyond meat (0.66),none,none
Why does meat digest faster than vegetables?,meat (0.72),faster than (0.45),none,digest (0.38),vegetables (0.69),none
Is eating rare steak healthier than eating well done steak?,rare steak health (1.00),well done steak (0.92),none,none,none,none
"Why won't my cat eat meat? She eats dry cat food right now and she is one and a half years old. She won't eat any kind of meat, cooked or raw, but she will eat vegetables, fruits and other things.",cat (0.97),meat (1.00),dry cat food (1.00),none,none,none
What can you use to bind burgers instead of eggs?,burgers instead of eggs (1.00),none,none,none,none,none
There are rumors that chicken meat causes PCOS. Is that true?,chicken meat causes pcos (1.00),none,none,true (0.33),none,none
What kind of meat is in meat tortellini?,meat (0.66),meat tortellini? (0.95),none,none,none,none
Is pork belly considered muscle or organ meat?,pork belly (1.00),or organ meat (0.99),none,muscle (0.39),none,none
"If you had a battered sausage, would you like it?",battered sausage (1.00),it (0.94),none,none,none,none
"Are restaurants in China allowed to sell dog meat, or are they just for special places?",dog meat (1.00),places (0.99),none,china (0.38),special (0.98),none
What are the pros and cons of eating beef meat as a post-workout meal?,pro (0.68),and (0.66),beef meat as a post - workout meal (1.00),##s (0.61),cons (0.57),none
Is it rude to send a steak back that is clearly medium-well after requesting medium-rare?,steak back that is clearly medium - well after requesting medium - rare (1.00),none,none,none,none,none
"What should I do? My son became a vegan (for animal rights) 2 years ago. Now, he said he can't socialize with us in a restaurant unless we (the family) go to a vegan place. He can't stand seeing us eating meat.",vegan ( for animal rights ) 2 years ago (1.00),he (0.56),restaurant (1.00),none,none,none
How many calories are in a pork rib?,##ories (1.00),pork rib? (1.00),none,cal (1.00),none,none
How much meat should I buy per person?,per person (0.99),none,none,meat (0.99),none,none
How different is soya bean protein from meat protein?,soya bean protein from meat protein (1.00),none,none,none,none,none
Is chipotle steak or chicken healthier?,chipotle steak or chicken healthier (0.98),none,none,none,none,none
When should I add wine to minced meat sauce?,wine to minced meat sauce (1.00),none,none,none,none,none
What causes ground beef to turn grey?,ground beef (1.00),grey (0.88),none,none,none,none
Why does my head hurt after I eat meat?,meat (1.00),none,none,none,none,none
If I eat meat am I complicit in animal cruelty?,meat (0.99),##plici (0.57),none,animal cruelty (0.58),none,none
"Cats need to eat meat, but my cat has no desire to eat any kind of meat. She won't eat tuna, chicken, beef, or any kinds of fish. All she wants is dry food. What should I do?",cats (0.97),meat (1.00),cat (0.72),any (0.46),dry food (0.83),none
