utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
How do I know when ice cream is done?,ice cream is done (1.00),none,none,none,none,none
Is it true that you cannot eat dessert and drink alcohol at the same time?,dessert and drink alcohol (1.00),same (0.53),none,none,none,none
Why is there no wine flavour in ice cream?,ice cream (1.00),none,none,wine flavour (1.00),none,none
What type of chocolate should I use to make fudge? Normal dark chocolate is not available where I live. Do I use milk chocolate or baking/cooking chocolate?,fudge? normal dark chocolate (0.99),chocolate or baking / cooking (0.96),none,chocolate (1.00),milk (0.65),chocolate (0.84)
How long will a fruit-based ice cream last?,fruit - based ice cream last (0.91),none,none,none,none,none
"If someone invented delicious zero calorie cake and ice cream, how much would you eat every day?","delicious zero calorie cake and ice cream, (0.96)",much (1.00),day (0.71),none,none,none
What would happen if I put ice cream in a hot chocolate?,ice cream in a hot chocolate (1.00),none,none,none,none,none
Can you make chocolate pudding with water instead of milk?,chocolate pudding with water instead of milk (1.00),none,none,none,none,none
What are the similarities between chocolate mousse and chocolate sauce?,chocolate mousse and chocolate sauce (1.00),none,none,none,none,none
"Can I use custard powder in baking (pancakes), or would it not work?",custard powder in baking ( pancakes ) (1.00),none,none,none,none,none
Are you planning on eating a donut on National Donut Day?,donut on national donut day (1.00),none,none,none,none,none
"What is the best way to transport ice cream, up to six hours, in a car?","ice cream, up to six hours, (1.00)",none,none,car (0.50),none,none
Is cornbread a dessert?,cornbread (1.00),dessert (1.00),none,none,none,none
What do I do if I added too much cream on sauce? It's very sugary.,too much cream on sauce (1.00),sugary (0.91),none,none,none,none
What is meaning of E407 printed on Amul ice cream as a ingredient?,e407 printed on amul ice cream as a ingredient (0.98),none,none,none,none,none
What is the best substitute for ice cream?,best (0.96),ice cream (1.00),none,none,none,none
Is ice cream easy to digest for IBD and not feel bloated?,ice cream (1.00),for ibd and not feel bloated (0.94),none,none,none,none
How do you turn a fruit into a chocolate pudding?,fruit into (0.84),chocolate pudding (0.91),none,none,none,none
"Which is better for you, light ice cream or regular ice cream?",light ice cream or regular ice cream? (1.00),none,none,none,none,none
How do I make ice cream with ice?,ice cream with ice? (1.00),none,none,none,none,none
What’s one of your favorite cakes to either buy or bake?,favorite cakes to (0.95),buy or bake? (0.99),none,either (0.57),none,none
Is black pudding like summer sausage?,black pudding (0.99),summer sausage (1.00),none,none,none,none
What words describe ice cream?,ice cream (1.00),none,none,none,none,none
What would happen if you only ate ice cream for a week?,ice cream for a week (1.00),none,none,none,none,none
