utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
How do I increase the umami flavor of a vegan soup?,umami flavor of a vegan soup (1.00),none,none,none,none,none
"I’m 17 and I forget to eat sometimes, but my mum won’t let me eat if it’s after lunchtime, says one meal is fine (walk 2 miles most days) and I don’t need so much food. she’ll always be like (eg. sandwich) one is enough etc-I’m not skinny, but help?",##time (0.89),meal is fine ( walk 2 miles most days ) (0.89),( eg. sandwich ) one is enough etc - (0.91),eat (0.88),lunch (0.52),food (1.00)
If a restaurant doesn't have a drive thru. How are you supposed to pick up your mobile order?,restaurant (1.00),mobile order (0.83),none,drive thru (1.00),none,none
What’s a good meal someone can pick up from Walmart or Albertsons for bodybuilding type meals?,good meal (1.00),from walmart or albertsons for bodybuilding type meals (0.97),none,none,none,none
What do you think about people who order steaks well-done?,steaks well - done? (1.00),none,none,none,none,none
How much does it cost to set up a hotdog cart in New York City?,hotdog cart (1.00),new york city (1.00),none,none,none,none
Is it OK to eat a small piece of egg shell accidentally?,small piece of egg shell accidentally (1.00),none,none,none,none,none
"What is pickling salt, and what is a good substitute?",pickling salt (1.00),good substitute (0.80),none,none,none,none
How many 1/4 teaspoons make 1 teaspoon?,1 / 4 teaspoons make 1 teaspoon? (0.97),none,none,none,none,none
Why is the ice in my freezer white but at restaurants it is clear?,in (0.71),freezer white (1.00),none,ice (0.76),restaurants (0.84),clear (0.81)
"My 16-year-old daughter wasn't eating dinner the other night and I asked her why. She said that her friends told her that they don't eat pasta because it will make them fat, so she's not going to either. How should I handle this situation correctly?",16 - year - old daughter (0.98),dinner (0.35),friends (0.38),fat (0.45),either (0.59),none
Why does my husband need so much food?,none,none,none,food (1.00),none,none
"Is it tacky to bring food to a party in the store bought original container? To me, it looks like you’ve made no effort.",tack (0.93),food (1.00),party in the store bought original container (1.00),effort (0.99),none,none
"Intermittent fasting is changing the way people eat. But there are so many different ways to fast these days, is one method better than all the rest?",none,none,none,intermittent fasting (0.65),different (0.55),fast (0.90)
"For a month and a half, I had been strictly eating healthy meals. No fast food at all. Recently I’ve had a couple fast food meals, but every time I eat them now; I get terrible stomach pains and diarrhea. Why is this?",month and a half (0.64),healthy meals (0.85),food (0.57),fast (1.00),all (0.67),terrible (0.54)
Do nightclubs serve food?,nightclub (0.92),none,none,food (0.83),none,none
What are the three of your favorite kinds of food?,favorite kinds of food (0.99),none,none,none,none,none
"My OCD is preventing me from eating a decent meal. It's not that I have body-image concerns, but I like the sense of control over my body that severely restricting my daily caloric intake gives me. What do I do?",decent meal (1.00),body that severely restricting (0.40),daily caloric intake (0.99),ocd (0.99),body - image concerns (0.98),control (0.82)
A young Pomeranian first time pregnant ate 1 T blue cheese. Does she need emergency treatment?,young pomeranian first time pregnant (1.00),1 t blue cheese (1.00),treatment (0.57),emergency (1.00),none,none
Where can I buy Green Giant canned vegetables?,green giant canned vegetables? (1.00),none,none,none,none,none
What do you want to eat if today is your last day?,today (0.65),last day (0.43),none,none,none,none
A fruit juice can is 14cm in diameter and 15.6cm high. What is its capacity in liters [1 liter=1000cm3] [take π=22/7]?,fruit juice can (1.00),##cm in diameter and 15. 6cm high (1.00),capacity in liters [ 1 liter = 1000cm3 ] [ take π = 22 / 7 ] (0.97),14 (0.75),none,none
"How long would it take to die if you didn’t drink anything or eat anything, and exercise?",anything (0.65),none,none,eat (0.51),anything (0.53),exercise (0.98)
My vegan dog isn't into his food. How do I flavor it so it tastes better? He hasn't been eating enough and I can't give him animal product since that would support animal cruelty.,vegan dog (1.00),food (0.97),it (0.85),eating (0.74),enough (0.92),animal (0.98)
Will going on a vegetarian diet reduce my regurgitation?,##urg (0.82),none,none,reg (0.56),##itation (0.46),none
Is it safe to eat day-old sushi that's been refrigerated?,day - old sushi that's been refrigerated (1.00),none,none,none,none,none
Is halal chicken slaughtered in a way that is less or more humane than non-halal chicken?,halal chicken (1.00),or more (0.70),than non - halal chicken (0.90),less (0.78),humane (0.36),none
Can a thin crust pizza lover and a pan-crust pizza lover make it as a couple?,thin crust pizza lover and a pan - crust pizza lover (0.99),it (1.00),couple (0.93),none,none,none
What’s the best way to track calories and eat less?,calories and eat less (0.97),none,none,none,none,none
Why don't people eat more offal?,offal? (1.00),none,none,none,none,none
Is seafood vegetarian?,none,none,none,seafood (0.64),none,none
"I haven’t eaten in 2 days, why am I still not hungry?",2 days (0.45),none,none,hungry (0.52),none,none
Do any of the fast food chains get their chicken from Tyson Foods?,fast food chains (1.00),chicken from tyson foods (0.94),none,none,none,none
Does McDonald's have meat alternatives?,mcdonald's (1.00),none,none,meat alternatives (1.00),none,none
Is it bad to sleep or even lie down after a heavy meal?,down after (0.73),heavy meal (0.98),none,sleep (0.96),none,none
What is the most famous pizza in New York?,most (0.60),famous (0.67),pizza (1.00),none,none,none
How much vegan protein do you need in a meal to maximize muscle growth?,meal to maximize (0.79),none,none,vegan protein (1.00),muscle growth (0.70),none
What snacks have no sugar?,snacks (0.36),none,none,no (1.00),sugar (0.94),none
"As a parent, what would you do if your teenager said, “People only eat leftovers for dinner when they are poor”?","teenager said, “ people only eat (0.99)",leftovers for dinner when (0.84),” (0.61),poor (0.34),none,none
Can you use mayonnaise mix with dumpling stuff?,mayonnaise mix with dumpling stuff (1.00),none,none,none,none,none
Why is English food not so popular in the world?,english food (0.98),popular (0.68),none,none,none,none
How can I eat healthy if I'm constantly starving?,healthy (1.00),starving (0.44),none,none,none,none
What's the one sandwich that reminds you of wonderful childhood memories?,one sandwich (0.98),wonderful childhood memories (1.00),none,none,none,none
Why do people like cereal with milk?,cereal with milk (1.00),none,none,none,none,none
"If your husband rejects your food over a little misunderstanding and goes to bed hungry, as a good wife, what will you do?",food over a (0.97),little misunderstanding (0.97),bed hungry (0.39),none,none,none
What are your favourite good mood foods?,favourite good mood foods (1.00),none,none,none,none,none
