utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
Why are my waffles not cooking in the middle?,waffles (1.00),middle (0.85),none,none,none,none
"Why does home-baked bread sometimes fail to rise? Assume for the purposes of the question that I didn't forget any ingredients, baked for the correct amount of time and so on.",rise (1.00),home - baked bread sometimes (0.99),correct amount (0.92),ingredients (1.00),none,none
How do I make a spiral potato cutter?,spiral potato cutter (1.00),none,none,none,none,none
What is rolled-in dough?,rolled - in dough (1.00),none,none,none,none,none
Should you refrigerate peanut butter cookie dough before baking it?,it (0.98),peanut butter cookie dough (0.90),##riger (0.71),baking (0.89),ref (0.69),none
What is strong flour? What is it used for in baking?,none,none,none,strong flour (0.73),baking (0.46),none
How is cookie dough different than cake batter?,cookie dough (1.00),than cake batter (1.00),none,none,none,none
"How can you prevent using the wrong ingredients such as salt, cornstarch, flour, and baking powder?","wrong ingredients such as salt, cornstarch, flour, and baking powder (1.00)",none,none,none,none,none
How can I make a Jiffy cornbread mix more moist?,jiffy cornbread mix more moist? (1.00),none,none,none,none,none
Is corn flour the same as arrowroot?,corn flour (0.99),as arrowroot (0.96),none,none,none,none
Does self rising flour need baking powder?,self rising flour (1.00),none,none,baking powder (0.99),none,none
Can bread flour be used for baking pancakes?,baking pancakes (0.98),bread flour (0.89),none,none,none,none
How long I could keep my cakes without using preservatives?,cakes (1.00),none,none,using preservatives? (1.00),none,none
How does an oven with both gas & electricity work? What are its advantages for baking?,oven (1.00),none,none,both gas & electricity (1.00),baking (0.99),advantages (0.54)
Is egg wash necessary for bread?,bread (1.00),none,none,egg wash (1.00),none,none
How much do Buddy Valastro cakes cost?,buddy valastro cakes (1.00),none,none,none,none,none
Why does it take so long to make pancake batter?,pancake batter (1.00),none,none,none,none,none
What is the ribbon stage in baking?,ribbon (1.00),baking (0.69),none,stage (0.50),none,none
"Can I use custard powder in baking (pancakes), or would it not work?",custard powder in baking ( pancakes ) (1.00),none,none,none,none,none
What kind of sugar is primarily used in preparing icing?,icing (0.76),none,none,sugar (1.00),none,none
What's the difference between baking and roasting when you're talking about bone-in skin-on chicken?,bone - in skin - on chicken (1.00),baking and roasting when (0.87),none,none,none,none
How can I replace peanut butter in a recipe?,peanut butter in (1.00),recipe (0.99),none,none,none,none
Is Backpulver the same as baking soda?,##pu (0.83),baking soda (0.78),none,back (0.98),##lver (0.64),none
What can I do with hard pita bread?,none,none,none,hard pita bread (0.97),none,none
Is it possible to hand-knead brioche?,hand - knead brioche? (0.99),none,none,none,none,none
"My mother don’t like chocolate cake and she didn’t bake before, hence she wanted try today. Is this sentence right?",cake (0.99),today (0.80),bake before (0.73),try (0.95),chocolate (0.65),none
How long does ketchup last after opening?,ketchup last after opening (0.95),none,none,none,none,none
"If I’m cooking with duck eggs instead of chicken eggs, how do I adjust for baking?",eggs instead of chicken eggs (0.78),none,none,duck (1.00),baking (0.99),none
"Why do all banana nut bread recipes use only either walnuts or pecans? Why do I never see almonds or peanuts, etc?",banana nut bread recipes (0.98),or pe (0.97),"almonds or peanuts, etc? (0.89)",only either walnuts (0.78),##cans (0.77),none
How much baking soda can you eat?,none,none,none,baking soda (1.00),none,none
Is 3 grams ok to make a batch of cannabis brownies?,grams (1.00),batch of cannabis brownies? (1.00),none,3 (0.94),none,none
How do I store cut potatoes for the morning?,potatoes (1.00),morning (0.99),none,none,none,none
What is a food that you hated as a child but now love to eat?,food (0.97),child (0.82),none,eat (1.00),none,none
How do I make a Dutch Apple pie topping?,dutch apple pie topping (1.00),none,none,none,none,none
Which type of pancakes uses a rising agent like baking powder to form much thicker fluffier pancakes?,pancakes (1.00),much thicker fluffier pancakes (1.00),rising agent like baking powder (0.96),form (0.64),none,none
How much money do I need to start a bakery?,bakery (1.00),none,none,money (1.00),none,none
How much baking powder is equal to baking soda?,baking (0.55),none,none,baking soda (1.00),powder (0.96),none
Why can't you use a microwave instead of an oven to bake?,microwave instead of an oven to bake (1.00),none,none,none,none,none
Can I use natural peanut butter for peanut butter cookies?,natural peanut butter for peanut butter cookies (1.00),none,none,none,none,none
Can I paint buttercream gold?,buttercream gold (1.00),none,none,none,none,none
Can you bake a cake in a combi oven?,cake (1.00),##i oven (0.82),none,comb (1.00),none,none
Does a pastry cake contains egg?,pastry cake (1.00),? (0.65),none,egg (1.00),none,none
Are there any sites that do recipes made with your ingredients?,recipes made with your ingredients (0.99),none,none,none,none,none
How do I make Chick-fil-A biscuits?,chick - fil - a biscuits (1.00),none,none,none,none,none
Are you supposed to eat fondant on cakes?,fondant on cakes (1.00),none,none,none,none,none
What can I use if I don't have a 1/8 tsp?,1 / 8 tsp? (1.00),none,none,none,none,none
Can corn flour be used as a replacement for cornstarch?,cornstarch (1.00),corn flour (0.86),none,none,none,none
Do chefs and professional cooks carefully try to not waste ingredients and food while cooking/baking?,chefs (0.97),waste ingredients and food while cooking / baking (0.94),professional cooks (0.70),none,none,none
What are some good recipes with fruit peels?,good (0.55),none,none,fruit peels? (1.00),none,none
How can you fix a cake batter that is too thick?,cake batter that is too thick (1.00),none,none,none,none,none
What is the best celebrity wedding cake?,the best celebrity wedding cake (1.00),none,none,none,none,none
How do you reduce the baking powder after taste when baking?,baking powder after taste when baking (1.00),none,none,none,none,none
How do you reheat baked ziti in the oven?,reheat baked ziti in the oven (1.00),none,none,none,none,none
What happens if you only use white sugar in cookies?,white sugar in cookies (1.00),none,none,none,none,none
What is the best way to make a no foil baked potato?,no foil baked potato? (1.00),none,none,none,none,none
What would you recommend for homemade gluten-free baked goods?,homemade gluten - free baked goods (1.00),none,none,none,none,none
What are the ingredients in soft rye bread?,soft rye bread (1.00),none,none,none,none,none
What is no-knead bread?,no - knead bread (1.00),none,none,none,none,none
How many bags of flour does Ruth need to make seven cakes if she uses three-quaters of a bag of flour to make one cake?,seven cakes (1.00),- quaters of a bag of flour (1.00),cake (1.00),flour (1.00),three (1.00),bags (0.75)
