utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
Do you have any homemade latte recipes?,homemade latte recipes (0.99),none,none,none,none,none
How do you make homemade buffalo sauce completely from scratch? I'm looking for a recipe and I can't seem to find a complete from scratch recipe. Every recipe that I find wants me to add hot sauce from a bottle like Frank's RedHot.,homemade buffalo sauce completely from scratch (1.00),i can't seem to (0.98),complete from scratch (0.94),none,none,none
Can you live off of a dollar a day?,dollar a day (1.00),none,none,none,none,none
What is your favorite homemade chicken ala king recipe?,favorite homemade chicken ala king recipe (1.00),none,none,none,none,none
What does a regular Italian home meal looks like?,regular italian home meal looks like (0.97),none,none,none,none,none
Why are some fruits made into jam and others are not?,fruits made into jam (1.00),others (0.99),none,none,none,none
Do you have a good and easy homemade Naan recipe?,good and easy homemade naan recipe (1.00),none,none,none,none,none
How do I make my own glue?,glue (1.00),none,none,none,none,none
What is the secret ingredient needed to make homemade vodka sauce?,homemade vodka sauce (1.00),none,none,secret ingredient (0.88),none,none
I really want to upgrade my salads with good homemade dressings. What are some natural recipes?,salads with good homemade dressings (1.00),none,none,natural recipes (0.74),none,none
What are some good homemade oil-free salad dressing recipes?,good homemade oil - free salad dressing recipes (1.00),none,none,none,none,none
Can I make my own oat flour with rolled oats?,oat flour with rolled oats (1.00),none,none,none,none,none
What are some homemade recipes for making waterproof wood glue?,waterproof wood glue (1.00),none,none,homemade (0.70),none,none
Is it hard to cook homemade sloppy joes?,homemade sloppy joes (1.00),none,none,none,none,none
What can you add to homemade muffins other than fruit?,homemade muffins other than fruit (1.00),none,none,none,none,none
How do you get homemade tortillas to puff up?,homemade tortillas to puff up (1.00),none,none,none,none,none
Where can I find a copycat recipe for the Flamin Hot Cheetos seasoning?,copycat (1.00),the flamin hot cheetos seasoning (0.98),none,none,none,none
What is a good homemade recipe for dry rub for chicken?,good homemade (0.91),dry rub for chicken? (1.00),none,none,none,none
Is there a good recipe to make homemade Greek dolma?,homemade greek dolma? (1.00),none,none,none,none,none
How do I prevent homemade caramel from sticking to the pot?,homemade caramel from sticking to the pot (1.00),none,none,none,none,none
"When it comes to food, we know that homemade is better than store bought. What are some examples of store bought food that will always be better than homemade?",homemade is better than store bought (1.00),store bought food (1.00),none,food (1.00),better (0.82),homemade (0.73)
Have you tried to make any of the homemade dole whip recipes? How did it turn out?,homemade dole whip recipes (1.00),it (0.98),none,none,none,none
Is it worth it to make your own seasonings/sauces?,seasonings / sauces? (0.94),none,none,none,none,none
Can you make your own vanilla extract instead of buying in store?,vanilla extract (0.93),in (0.55),none,buying (0.72),store (0.72),none
Is it hard to make homemade syrup?,homemade syrup (1.00),none,none,none,none,none
How do you homebrew beer without yeast/make homemade yeast?,homebrew beer without (1.00),/ make homemade yeast (1.00),none,yeast (1.00),none,none
What are some tricks to making a great pie dough?,great pie dough (1.00),none,none,none,none,none
