utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
Does peanut butter that is sold in the market really contain a lot of peanut or just a small amount of peanut added with flavor enhancing?,peanut butter that (1.00),market (0.94),lot of (0.66),peanut (1.00),peanut (0.99),enhancing (0.96)
How do I keep fresh pasta from sticking?,fresh pasta from sticking? (1.00),none,none,none,none,none
Does it matter what size of eggs you use in a recipe?,eggs (0.99),none,none,none,none,none
How do I make fluffy icing for cupcakes?,fluffy icing for cupcakes (1.00),none,none,none,none,none
Does buttermilk powder as a buttermilk substitute tenderize chicken?,buttermilk powder as (1.00),buttermilk substitute tenderize chicken (1.00),none,none,none,none
How do I cook on a cast iron griddle?,cast iron griddle? (1.00),none,none,none,none,none
How do you choose and cook your pasta so that it sticks well to the sauce?,pasta (1.00),it sticks well to the sauce (0.72),none,none,none,none
Could lard ever become a popular cooking ingredient again?,##rd (1.00),popular cooking ingredient again (0.99),none,la (0.89),none,none
How do I cook an angus steak in an oven?,angus steak in an oven (1.00),none,none,none,none,none
Why does cake icing taste so bad?,cake icing (1.00),bad (0.63),none,none,none,none
"Apart from stew, what can you cook in a slow cooker?",slow cooker (1.00),none,none,stew (1.00),none,none
How is cubed steak made? Why?,cubed steak (1.00),none,none,none,none,none
How do I cook a beef round eye steak?,beef round eye steak (1.00),none,none,none,none,none
What is your favorite BBQ side?,favorite bbq side (1.00),none,none,none,none,none
"Paula is making a fudge brownie with cherry mousse for her son's birthday. If she were wanting to cut the recipe in half, how many teaspoons of vanilla would she need if the recipe originally called for one teaspoon?",fudge brownie with cherry mousse (1.00),son's birthday (1.00),in half (0.47),paula (0.34),one (0.57),none
How can I make a homemade strudel?,homemade strudel? (1.00),none,none,none,none,none
What is your favorite dessert from your culture?,favorite (0.89),dessert (0.90),none,culture (0.32),none,none
What are some dishes that require ingredients that 99% of people don't have at home?,dishes (1.00),99 % of people (0.89),none,ingredients that (0.69),none,none
"Do you have to peel potatoes for a soup? E.g. Scotch Broth. When I bake potatoes I leave the skin on, that's the best bit isn't it?",potatoes for (1.00),soup? e. g. scotch broth. (1.00),bake potatoes i (0.97),skin (0.83),none,none
Does sugar help cakes rise during baking?,cakes (1.00),none,none,sugar (1.00),baking (0.57),none
What goes best with a peanut butter in a sandwich besides jam?,goes (0.72),peanut butter in a sandwich besides jam? (0.96),none,none,none,none
Can you sue someone for using your recipe?,none,none,none,none,none,none
How do you put nuts on the side of a cake?,nuts on the side of (0.98),cake (0.99),none,none,none,none
How do I make creamed spinach with milk?,creamed spinach with milk (1.00),none,none,none,none,none
"Can apples be easily substituted with blueberries, strawberries, cherries or peaches in an apple pie recipe without altering the bake time?",apples (0.89),"easily substituted with blueberries, strawberries, cherries or peaches in an (0.94)",apple pie (0.94),altering (1.00),bake time (0.63),none
How do I make ground beef taste good?,ground beef taste good? (0.96),none,none,none,none,none
Why do baking pans need to be the correct size when baking a cake?,baking pans (0.97),correct size (0.99),cake (1.00),none,none,none
"What dishes do you love to eat, but loathe to prepare?",dishes (0.79),none,none,prepare (1.00),none,none
"When making potato salad, do you peel and chunk the potatoes first, or boil them while, peel, and chunk them after they are cooked?",potato salad (1.00),"peel and chunk the potatoes first, (0.92)","boil them while, peel, and chunk them after they (0.99)",cooked (0.72),none,none
How do restaurants really protect their secret recipes?,restaurants (1.00),secret recipes (0.66),none,none,none,none
How do I make gravy from a beef roast?,gravy from a beef roast (1.00),none,none,none,none,none
How do I make panipuri (puchka)?,panipuri ( puchka )? (1.00),none,none,none,none,none
How do I cook pasta without a pot?,pasta (1.00),none,none,a (1.00),pot (1.00),none
What is the tastiest chicken dish from Singapore?,tastiest chicken dish from singapore (1.00),none,none,none,none,none
What ingredient spoils a food dish for you if it’s in it?,food dish (1.00),’ (0.54),none,ingredient (0.69),it (0.46),in (0.60)
How much boneless ribeye roast per person?,bone (0.67),person (0.93),none,##less ribeye roast per (0.93),none,none
How do I make chimichurri sauce for steak?,chimichurri sauce for steak (1.00),none,none,none,none,none
How long does it take to cook a 9lb chicken?,9lb chicken? (1.00),none,none,none,none,none
Are there any good low-fat recipes for chocolate cheesecake?,low - fat (1.00),chocolate cheesecake (1.00),none,none,none,none
How do I safely make cold cut deli meat?,cold cut deli meat (1.00),none,none,none,none,none
Why do we cook cereal products?,cereal products (1.00),none,none,none,none,none
What's the best lamb for roasting?,the best lamb for roasting? (1.00),none,none,none,none,none
Why are my mashed potatoes watery?,mashed potatoes watery (1.00),none,none,none,none,none
Can piranha fish be used as food or cooking?,piranha fish (1.00),food or (0.72),none,cooking (0.71),none,none
What makes a dish successful?,dish successful (0.96),none,none,none,none,none
What's the best way to bake white bread?,best (0.80),white bread (0.94),none,none,none,none
What ingredients are not in regular eggs that are present in brown eggs and visa versa?,regular eggs that are present in brown eggs and visa versa (0.95),none,none,ingredients (0.54),none,none
How do I make good and tasty cheese at home with simply boiled milk?,good and tasty cheese (1.00),with simply boiled milk (1.00),none,none,none,none
What is the best temperature to cook a joint of beef?,joint of beef (1.00),none,none,none,none,none
How many times should you flip a steak when cooking?,steak when cooking (1.00),none,none,none,none,none
What type of soup is the best for you?,soup (0.98),best (0.77),none,none,none,none
