utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
What's the cheapest most filling food in your country?,cheapest most filling food (1.00),country (0.90),none,none,none,none
How do you tenderize tough pulled pork?,tough pulled pork? (1.00),none,none,tender (0.91),none,none
Why don't they sell bacon as thick as steaks and steaks as thin as bacon?,bacon as thick as steaks and steaks as thin as bacon (1.00),none,none,none,none,none
Can an enamel-coated steel pot go in the oven?,enamel - coated steel pot go in the oven (1.00),none,none,none,none,none
Can you sue someone for using your recipe?,none,none,none,none,none,none
How do you roast vegetables without drying them out?,vegetables (1.00),none,none,drying them out (1.00),none,none
How do you grill vegetables without skewers?,vegetables (1.00),none,none,skewers? (1.00),none,none
How is chicken cooked sous vide at 149 degrees for two hours safe when poultry needs to be cooked to 165?,chicken cooked sous vide at 149 degrees for two hours safe when poultry (1.00),cooked to (0.90),? (1.00),165 (0.55),none,none
Who can help me cook fresh meat on fire?,fresh meat on fire (1.00),none,none,none,none,none
What are the pros and cons of duck fat?,pros and cons of duck fat (0.91),none,none,none,none,none
What is the best way to remove leaves from thyme?,leaves from thyme (1.00),none,none,none,none,none
Why are my pancakes gooey inside?,pancakes gooey inside (1.00),none,none,none,none,none
What is the best way to remove the shell from a boiled egg?,shell from a boiled egg (0.98),none,none,none,none,none
How do you fix too much milk in mac and cheese?,too much milk in mac and cheese (1.00),none,none,none,none,none
"Except cheese pizza, what is the easiest pizza to make at home?",cheese pizza (0.96),the (0.99),easiest pizza to make (1.00),none,none,none
What is the best way to cook beef brisket?,beef brisket? (0.97),none,none,none,none,none
"No matter what I try, I can’t get my white gravy right. It’s always too heavy and liquid, or sometimes even pasty. How do I get it ""fluffy"" like how it is at restaurants?",’ (0.41),white gravy right (1.00),it (1.00),past (0.98),none,none
How do you cook Spam in a frying pan?,spam in a frying pan (1.00),none,none,none,none,none
How do you prevent mozzarella sticks from bursting open in an air fryer?,mozzarella sticks from bursting open in an air fryer (1.00),none,none,none,none,none
How do I cook cabbage in a pot?,cabbage in a pot? (0.96),none,none,none,none,none
How long does it take to cook frozen taquitos in an air fryer?,frozen taquitos in an air fryer (1.00),none,none,none,none,none
Is it cheaper to run a gas stove versus an electric stove?,gas stove versus an electric stove (1.00),none,none,none,none,none
Why do chefs finish their dishes with olive oil?,chefs (0.82),dishes with (0.84),none,olive oil (0.86),none,none
What is the best way to cook a ribeye steak in a cast iron skillet?,ribeye steak in a cast iron skillet (1.00),none,none,none,none,none
Do the Russians eat/make sauerkraut?,russians (0.96),/ make sauerkraut? (0.97),none,none,none,none
How do I cook beef cubes on a stove?,beef cubes on a stove (1.00),none,none,none,none,none
"I can't seem to cook the steak right. The outside looks really well seared with good brown color but inside is usually fairly raw, so what could I be doing wrong? I can eat it, but I'd like it medium.",steak right (1.00),outside (0.48),really well seared with good brown color (0.99),inside (0.68),raw (0.64),wrong (0.44)
What's a food item or dish that gets unnecessary hate?,food item or dish that (0.93),hate (0.60),none,unnecessary (0.59),none,none
How do you fix undercooked potatoes?,undercooked potatoes? (0.93),none,none,none,none,none
How do I make chicken and shrimp gumbo?,chicken and shrimp gumbo? (1.00),none,none,none,none,none
How do I cook tender roast beef?,tender roast beef? (1.00),none,none,none,none,none
What is the fastest way to hard boil eggs?,hard boil eggs (1.00),none,none,none,none,none
My two most used small kitchen utensils is a set of measuring spoons and a vegetable peeler. What are your most used items?,two most used small kitchen utensils is a set of measuring spoons and a (0.96),vegetable peeler (0.90),used (0.46),most (0.35),none,none
Can I use stainless steel for a pan pizza?,stainless steel (0.77),pan pizza (1.00),none,none,none,none
Is there a type of cheesy chicken enchilada that doesn’t have red sauce in general?,cheesy chicken enchilada that doesn ’ t have red sauce (1.00),none,none,none,none,none
Can you use beef steak ingredient for chicken steak?,beef steak (1.00),chicken steak (0.91),none,none,none,none
Why is it that a woman can't be married until and unless she knows cooking? Why can't she learn to cook after marriage?,woman can't be married until and unless she (0.98),after (0.40),none,cooking (0.97),marriage (0.62),none
Is Crocodile or Alligator meat very tasty? What does it taste like? How commonly eaten and how expensive to order at a restaurant? How compared to snake meat? Does it make you sick?,crocodile or alligator meat (1.00),tasty (0.98),it (0.98),how (0.43),it (0.73),none
What is the best type of rice for curry?,the best (1.00),rice for curry? (0.99),none,none,none,none
Is there a problem in putting an oven over the microwave oven?,oven over the microwave oven (1.00),none,none,none,none,none
How do you plan a romantic meal for your girlfriend?,romantic meal (1.00),girlfriend (1.00),none,none,none,none
Can beef marinate in lemon juice longer than two hours?,beef marinate in lemon juice longer than two hours (0.98),none,none,none,none,none
Why is garlic not used in traditional Italian cooking?,traditional italian cooking (1.00),none,none,garlic (0.99),none,none
"Which is healthier, chicken sausage or turkey sausage?","healthier, chicken sausage or turkey sausage (1.00)",none,none,none,none,none
How much taco meat is needed for 100 people?,100 people (1.00),none,none,taco meat (0.96),none,none
