utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
Are homemade cookies better and healthier than store-bought cookies?,homemade (0.53),cookies better (0.63),##ier than (0.81),health (0.64),none,none
How do I make 00 flour at home?,00 flour (1.00),none,none,none,none,none
Does homemade strawberry ice cream take too long to make?,homemade strawberry ice cream (1.00),long (0.98),none,none,none,none
How do I make DIY lotion boxes?,diy lotion boxes (1.00),none,none,none,none,none
What happens if you use water instead of cooking oil in a pan to cook home-made fries?,instead of cooking oil in a pan (1.00),home - made fries (1.00),none,water (1.00),none,none
What items are better to make at home instead of buying them at a store?,items (0.89),store (0.90),none,none,none,none
Is it healthier to make homemade corn or homemade flour tortillas?,homemade corn or homemade flour tortillas (1.00),none,none,health (0.77),none,none
How can I make a 3-minute chocolate cake at home?,3 - minute chocolate cake (1.00),none,none,none,none,none
What is the greeting of the day? I am new here and this is my first time making a homemade wine. Can anyone give me guidance?,greeting (0.80),day (0.99),homemade wine (1.00),guidance (0.77),none,none
Is Colby Jack a good cheese for homemade pizza?,colby jack (0.95),good cheese for homemade pizza (1.00),none,none,none,none
How do I make a home face mask?,home face mask (1.00),none,none,none,none,none
What sweets do the British usually make at home?,sweets (0.74),british (0.80),none,none,none,none
"What combines Krav Mega, orienteering, survivalism, and homemade explosives?","krav mega, orienteering, survivalism, and homemade explosives (1.00)",none,none,none,none,none
How do I make wheatgrass juice at home?,wheatgrass juice (1.00),none,none,none,none,none
Why do you prefer homemade bread or bread bought at the bakery or shop?,homemade bread or bread bought (1.00),the bakery or shop (1.00),none,none,none,none
"How can I make a homemade oven, because I love to bake but can't afford an oven yet?",homemade oven (1.00),bake but can't (1.00),none,oven (0.99),none,none
How do I make a cardboard box house?,cardboard box house (1.00),none,none,none,none,none
How long does homemade cookie dough last?,homemade cookie dough (1.00),none,none,none,none,none
Are there any benefits to buying a pan with holes to cook homemade pizza?,pan with holes to cook homemade pizza (1.00),none,none,none,none,none
Do you like handmade soaps?,handmade soaps (1.00),none,none,none,none,none
Is there an app to find people nearby making and selling authentic food at home?,people nearby making and selling authentic food (0.78),none,none,none,none,none
How long does homemade salad last in the freezer?,homemade salad last in the freezer (1.00),none,none,none,none,none
